FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;
01/ene/2021;7,79382; 21,91 ; 21,11 ; 17,61 ; 13,40 ; 99,00 ; 3,96 ;
02/ene/2021;7,79382; 21,91 ; 21,11 ; 17,61 ; 13,40 ; 99,00 ; 3,96 ;
03/ene/2021;7,79382; 21,91 ; 21,11 ; 17,61 ; 13,40 ; 99,00 ; 3,96 ;
04/ene/2021;7,79417; 21,91 ; 21,11 ; 17,61 ; 13,45 ; 99,00 ; 3,96 ;
05/ene/2021;7,79369; 21,91 ; 21,11 ; 17,61 ; 13,45 ; 99,00 ; 3,96 ;
06/ene/2021;7,79735; 21,91 ; 21,11 ; 17,61 ; 13,45 ; 99,00 ; 3,96 ;
07/ene/2021;7,79493; 21,91 ; 21,11 ; 17,61 ; 13,45 ; 99,00 ; 3,96 ;
08/ene/2021;7,80089; 21,91 ; 21,11 ; 17,61 ; 13,45 ; 99,00 ; 3,96 ;
09/ene/2021;7,80089; 21,91 ; 21,11 ; 17,61 ; 13,45 ; 99,00 ; 3,96 ;
10/ene/2021;7,80089; 21,91 ; 21,11 ; 17,61 ; 13,45 ; 99,00 ; 3,96 ;
11/ene/2021;7,79581; 22,39 ; 21,59 ; 17,69 ; 13,82 ; 99,00 ; 3,96 ;
12/ene/2021;7,79620; 22,39 ; 21,59 ; 17,69 ; 13,82 ; 99,00 ; 3,96 ;
13/ene/2021;7,79686; 22,39 ; 21,59 ; 17,69 ; 13,82 ; 101,67 ; 4,07 ;
14/ene/2021;7,79124; 22,39 ; 21,59 ; 17,69 ; 13,82 ; 101,67 ; 4,07 ;
15/ene/2021;7,78903; 22,39 ; 21,59 ; 17,69 ; 13,82 ; 101,67 ; 4,07 ;
16/ene/2021;7,78903; 22,39 ; 21,59 ; 17,69 ; 13,82 ; 107,00 ; 4,28 ;
17/ene/2021;7,78903; 22,39 ; 21,59 ; 17,69 ; 13,82 ; 107,00 ; 4,28 ;
18/ene/2021;7,78560; 23,21 ; 22,41 ; 18,30 ; 14,05 ; 107,00 ; 4,28 ;
19/ene/2021;7,79345; 23,21 ; 22,41 ; 18,30 ; 14,05 ; 107,00 ; 4,28 ;
