FECHA;Tipo de Cambio;Superior;Regular;Diesel;Bunker;Glp Cilindro 25Lbs.;;;;;
01/ene/2023;7,85222; 32,55 ; 30,99 ; 33,75 ; 15,99 ; 122,00 ; 4,88 ;;;;
02/ene/2023;7,85222; 32,55 ; 30,99 ; 33,75 ; 15,99 ; 122,00 ; 4,88 ;;;;
03/ene/2023;7,84773; 32,56 ; 31,42 ; 35,31 ; 16,39 ; 122,00 ; 4,88 ;;;;
04/ene/2023;7,84906; 32,56 ; 31,42 ; 35,31 ; 16,39 ; 122,00 ; 4,88 ;;;;
05/ene/2023;7,85221; 32,56 ; 31,42 ; 35,31 ; 16,39 ; 122,00 ; 4,88 ;;;;
06/ene/2023;7,84856; 32,56 ; 31,42 ; 35,31 ; 16,39 ; 122,00 ; 4,88 ;;;;
07/ene/2023;7,84856; 32,56 ; 31,42 ; 35,31 ; 16,39 ; 122,00 ; 4,88 ;;;;
08/ene/2023;7,84856; 32,56 ; 31,42 ; 35,31 ; 16,39 ; 122,00 ; 4,88 ;;;;
09/ene/2023;7,84628; 33,00 ; 31,60 ; 35,98 ; 16,39 ; 122,00 ; 4,88 ;;;;
10/ene/2023;7,84395; 33,00 ; 31,60 ; 35,98 ; 16,39 ; 122,00 ; 4,88 ;;;;
11/ene/2023;7,84880; 33,00 ; 31,60 ; 35,98 ; 16,39 ; 122,00 ; 4,88 ;;;;
12/ene/2023;7,85000; 33,00 ; 31,60 ; 35,98 ; 16,39 ; 122,00 ; 4,88 ;;;;
13/ene/2023;7,84942; 33,00 ; 31,60 ; 35,98 ; 16,39 ; 122,00 ; 4,88 ;;;;
14/ene/2023;7,84942; 33,00 ; 31,60 ; 35,98 ; 16,39 ; 122,00 ; 4,88 ;;;;
15/ene/2023;7,84942; 33,00 ; 31,60 ; 35,98 ; 16,39 ; 122,00 ; 4,88 ;;;;
16/ene/2023;7,84319; 33,96 ; 32,58 ; 35,96 ; 15,99 ; 122,00 ; 4,88 ;;;;
17/ene/2023;7,84762; 33,96 ; 32,58 ; 35,96 ; 15,99 ; 122,00 ; 4,88 ;;;;
18/ene/2023;7,84834; 33,96 ; 32,58 ; 35,96 ; 15,99 ; 122,00 ; 4,88 ;;;;
19/ene/2023;7,85007; 33,96 ; 32,58 ; 35,96 ; 15,99 ; 122,00 ; 4,88 ;;;;
20/ene/2023;7,85078; 33,96 ; 32,58 ; 35,96 ; 15,99 ; 122,00 ; 4,88 ;;;;
21/ene/2023;7,85078; 33,96 ; 32,58 ; 35,96 ; 15,99 ; 122,00 ; 4,88 ;;;;
22/ene/2023;7,85078; 33,96 ; 32,58 ; 35,96 ; 15,99 ; 122,00 ; 4,88 ;;;;
23/ene/2023;7,84295; 35,02 ; 33,63 ; 35,54 ; 16,39 ; 122,00 ; 4,88 ;;;;
24/ene/2023;7,84379; 35,02 ; 33,63 ; 35,54 ; 16,39 ; 122,00 ; 4,88 ;;;;
25/ene/2023;7,84883; 35,02 ; 33,63 ; 35,54 ; 16,39 ; 122,00 ; 4,88 ;;;;
26/ene/2023;7,85069; 35,02 ; 33,63 ; 35,54 ; 16,39 ; 122,00 ; 4,88 ;;;;
27/ene/2023;7,85212; 35,02 ; 33,63 ; 35,54 ; 16,39 ; 122,00 ; 4,88 ;;;;
28/ene/2023;7,85212; 35,02 ; 33,63 ; 35,54 ; 16,39 ; 122,00 ; 4,88 ;;;;
29/ene/2023;7,85212; 35,02 ; 33,63 ; 35,54 ; 16,39 ; 122,00 ; 4,88 ;;;;
